,courses,Duration,Description,Location
0,Python training,1 Month,"Launch your data science or web development career with Python, the versatile programming language.","Python courses available in: Hyderabad, Vijayawada,  Bangalore"
1,Data science training,6 Months,Advance your analytics career by gaining data science skills to extract strategic insights.,"Data science courses available in: Hyderabad, Vijayawada"
2,Full-stack Python course,100 Days,Become a full-stack Python developer and kickstart your web and app development career.,"Full-stack Python courses available in: Hyderabad, Vijayawada,  Bangalore"
3,Java training,1 Month,Strengthen your backend development career by mastering object-oriented Java.,"Java training classes available in: Hyderabad, Vijayawada,  Bangalore"
4,Machine Learning training,6 Months,Advance your career in AI by mastering machine learning models and algorithms.,"Machine learning classes available in: Hyderabad, Vijayawada"
5,Full-stack Java course,100 Days,Launch your career as a full-stack developer by gaining in-demand Java skills spanning front and backend.,"Full-stack Java courses available in: Hyderabad, Vijayawada,  Bangalore"
6,React JS training,1 Month,Boost your front-end career by building interactive web apps with React.,React JS course in Vijayawada
7,Data structures & algorithm training,3 Months,Strengthen your foundations to pass interviews and excel in software roles.,Data structure course in Vijayawada
8,C Programming course,30 Days,Advance your systems and hardware programming career by mastering C language.,C language course in Vijayawada
9,Software testing training,100 days,"Learn comprehensive software testing skills through a thorough training program covering manual testing, white-box and black-box testing, Selenium, and working on live projects to gain practical experience.","Software testing classes available in: Vijayawada, Bangalore, and Hyderabad"
